year_month,sum(severity_level),total_volume_for_month,safety_score
2020-06,5069,1.6763278E7,3.0238715840660757
2020-02,7852,3.5338168E7,2.2219601197209773
2020-05,4833,1.411875E7,3.4231075697211155
2020-07,5002,1.7344451E7,2.8839194737267846
2020-03,6073,2.7512313E7,2.207375294109223
2020-01,7873,3.5410183E7,2.223371734622213
2020-09,5377,2.2216889E7,2.4202308433012383
2020-08,5127,1.5663877E7,3.273136018624253
2020-04,3525,1.4326702E7,2.460440651309701
2020-10,5941,2.7611123E7,2.151669093647513
